solution_id,task_id,relation_type,notes,status
DS-BA-001,TASK-BA-001,decomposes_to,划分业务类别和优先级,accepted
DS-BA-001,TASK-BA-002,decomposes_to,设计识别条件,accepted
DS-BA-001,TASK-BA-003,decomposes_to,设计计费动作,accepted
DS-BA-001,TASK-BA-004,decomposes_to,设计 Rule 与优先级,accepted
DS-BA-001,TASK-BA-005,decomposes_to,设计套餐绑定,accepted
DS-BA-001,TASK-BA-006,decomposes_to,做 CP/UP 一致性与计费链验收,accepted
DS-BA-002,TASK-BA-001,decomposes_to,沿用第一条链路中的业务类别和优先级划分,accepted
DS-BA-002,TASK-BA-002,decomposes_to,沿用并扩展识别条件到七层视频/URL 场景,accepted
DS-BA-002,TASK-BA-007,decomposes_to,定义 CCT 与配额阈值粒度,accepted
DS-BA-002,TASK-BA-008,decomposes_to,定义配额耗尽动作,accepted
DS-BA-002,TASK-BA-009,decomposes_to,设计重定向动作链,accepted
DS-BA-002,TASK-BA-010,decomposes_to,设计耗尽前后的规则切换,accepted
DS-BA-002,TASK-BA-011,decomposes_to,验收耗尽后运行时行为,accepted
