source_id,vendor,source_kind,source_group,feature_code,command_name,title,source_path,page_type_candidate,business_awareness_relevance,candidate_scene_tags_json,candidate_semantic_tags_json,object_chain_hints_json,summary_hint,evidence_id,status
SRC-UDG-BA-TOPIC-001,UDG,business_topic,UDG业务感知专题,,,套餐1：计费场景,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\基于业务套餐的配置实例\\套餐1：计费场景_93112148.md,scenario_example,high,"[""差异化计费"",""免费业务"",""默认兜底计费""]","[""流量识别"",""规则语义"",""计费语义"",""绑定语义""]","[""FlowFilter->Rule->UserProfile"",""URR->URRGroup->PCCPolicyGrp->Rule""]","UDG 侧第一条最完整的业务套餐脚本样例。",EVI-UDG-BA-93112148,accepted
SRC-UDG-BA-TOPIC-002,UDG,business_topic,UDG业务感知专题,,,规则配置全景,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置\\规则配置全景_92882615.md,panorama,high,"[""差异化计费"",""重定向"",""头增强"",""带宽控制""]","[""流量识别"",""规则语义"",""动作语义""]","[""Filter/L7Filter/Protocol->FlowFilter"",""FlowFilter->Rule->UserProfile""]","给出业务感知四大块：流过滤条件、流动作、Rule、User Profile。",EVI-UDG-BA-92882615,accepted
SRC-UDG-BA-TOPIC-003,UDG,business_topic,UDG业务感知专题,,,业务感知定义,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知功能描述\\业务感知定义_92407879.md,definition,high,"[""差异化计费"",""带宽控制"",""重定向"",""头增强"",""安全防护""]","[""流量识别"",""策略动作"",""计费语义""]","[""rule->policy action"",""charging/redirect/header-enhancement""]","给出业务感知的总定义，明确策略控制与计费控制的大类能力边界。",EVI-UDG-BA-92407879,accepted
SRC-UDG-BA-TOPIC-004,UDG,business_topic,UDG业务感知专题,,,业务感知场景举例,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知功能描述\\业务感知场景举例_92407896.md,scenario_example,high,"[""差异化计费"",""免费业务"",""配额耗尽动作"",""重定向""]","[""流量识别"",""规则语义"",""计费语义"",""动作语义"",""优先级语义""]","[""Rule1/Rule2/Rule3"",""traffic-exhausted->redirect rule""]","给出视频免流、配额耗尽后重定向等场景化说明，可作为第二条主线原料。",EVI-UDG-BA-92407896,accepted
SRC-UDG-BA-TOPIC-005,UDG,business_topic,UDG业务感知专题,,,规则配置实例,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置实例_92464022.md,panorama,high,"[""阻断"",""重定向"",""带宽控制"",""头增强""]","[""动作语义"",""规则语义""]","[""rule->redirect"",""rule->bandwidth"",""rule->header-enhancement""]","汇总业务感知规则配置实例入口，覆盖阻断、重定向、带宽控制、头增强。",EVI-UDG-BA-92464022,accepted
SRC-UDG-BA-TOPIC-006,UDG,business_topic,UDG业务感知专题,,,套餐2：带宽控制,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\基于业务套餐的配置实例\\套餐2：带宽控制_94838085.md,scenario_example,high,"[""带宽控制""]","[""带宽语义"",""规则语义"",""绑定语义""]","[""CategoryProp->Rule->UserProfile""]","给出业务感知带宽控制套餐样板，可作为后续第三阶段主线输入。",EVI-UDG-BA-94838085,accepted
SRC-UDG-BA-TOPIC-007,UDG,business_topic,UDG业务感知专题,,,七层重定向功能,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置实例\\七层重定向功能_92393307.md,configuration,high,"[""重定向"",""访问控制""]","[""流量识别"",""动作语义"",""规则语义"",""绑定语义""]","[""L7Filter->FlowFilter->Redirect->PCCActionProp->PccPolicyGrp->Rule->UserProfile""]","给出 UDG 侧七层重定向的完整配置链，是第二条主线的用户面动作实现样板。",EVI-UDG-BA-92393307,accepted
SRC-UDG-BA-TOPIC-008,UDG,business_topic,UDG业务感知专题,,,配置PCC策略,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置\\配置流动作\\配置PCC策略_87803995.md,configuration,high,"[""重定向"",""阻断"",""策略动作""]","[""动作语义"",""PCC动作语义""]","[""Redirect->PCCActionProp->PccPolicyGrp""]","给出 UDG 侧动作属性、重定向和 PCC 策略组的通用配置路径。",EVI-UDG-BA-87803995,accepted
SRC-UDG-FEAT-001,UDG,feature_page,业务感知功能,GWFD-110101,,GWFD-110101 SA-Basic特性概述,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\业务感知功能\\GWFD-110101 SA-Basic\\GWFD-110101 SA-Basic特性概述_73565837.md,overview,high,"[""差异化计费"",""带宽控制"",""重定向""]","[""流量识别"",""规则语义"",""控制面/用户面协同""]","[""SA parsing->Rule match->Action""]","业务感知识别与处理底座。",EVI-UDG-FEAT-73565837,accepted
SRC-UDG-FEAT-002,UDG,feature_page,业务感知功能,GWFD-110101,,GWFD-110101 SA-Basic参考信息,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\业务感知功能\\GWFD-110101 SA-Basic\\GWFD-110101 SA-Basic参考信息_90197552.md,reference,high,"[""差异化计费"",""带宽控制"",""重定向""]","[""命令覆盖面""]","[""ADD FLOWFILTER"",""ADD RULE"",""ADD URR""]","提供业务感知第一批相关命令全集线索。",EVI-UDG-FEAT-90197552,accepted
