evidence_id,vendor,source_kind,title,source_path,evidence_summary,status
EVI-UDG-BA-93112148,UDG,business_topic,套餐1：计费场景,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\基于业务套餐的配置实例\\套餐1：计费场景_93112148.md,"直接给出专项业务、免费业务、默认兜底业务并存的完整套餐配置样板，以及 UDG 侧对象链和命令链。",accepted
EVI-UDG-BA-92882615,UDG,business_topic,规则配置全景,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置\\规则配置全景_92882615.md,"给出业务感知配置全景，明确分为流过滤条件、流动作、Rule、User Profile 四大块。",accepted
EVI-UDG-BA-92407879,UDG,business_topic,业务感知定义,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知功能描述\\业务感知定义_92407879.md,"定义业务感知的总体能力边界，明确策略控制和计费控制的主要类型。",reserved
EVI-UDG-BA-92407896,UDG,business_topic,业务感知场景举例,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知功能描述\\业务感知场景举例_92407896.md,"给出视频免流、流量耗尽后重定向等典型业务感知场景，可支撑第二条主线的场景发现。",accepted
EVI-UDG-BA-92464022,UDG,business_topic,规则配置实例,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置实例_92464022.md,"汇总业务感知规则配置实例入口，覆盖阻断、重定向、带宽控制、头增强。",reserved
EVI-UDG-BA-94838085,UDG,business_topic,套餐2：带宽控制,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\基于业务套餐的配置实例\\套餐2：带宽控制_94838085.md,"给出业务感知带宽控制套餐样板，可作为后续业务感知扩展主线输入。",reserved
EVI-UDG-BA-92393307,UDG,business_topic,七层重定向功能,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置实例\\七层重定向功能_92393307.md,"给出 UDG 侧七层重定向的完整配置链，包括 L7Filter、Redirect、PCCActionProp、PccPolicyGrp、Rule 和 UserProfile。",accepted
EVI-UDG-BA-87803995,UDG,business_topic,配置PCC策略,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\业务专题\\UDG业务感知专题\\业务感知配置\\激活业务感知\\规则配置\\配置流动作\\配置PCC策略_87803995.md,"给出重定向、阻断等动作在 UDG 侧通过 Redirect、PCCActionProp、PccPolicyGrp 落地的通用路径。",accepted
EVI-UDG-FEAT-73565837,UDG,feature_page,GWFD-110101 SA-Basic特性概述,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\业务感知功能\\GWFD-110101 SA-Basic\\GWFD-110101 SA-Basic特性概述_73565837.md,"定义 SA-Basic 的三四层解析、协议识别、七层解析能力，并说明其支撑计费、重定向、头增强等业务感知处理。",accepted
EVI-UDG-FEAT-90197552,UDG,feature_page,GWFD-110101 SA-Basic参考信息,output\\UDG_Product_Documentation_CH_20.15.2\\特性部署\\特性指南\\UDG特性指南\\业务感知功能\\GWFD-110101 SA-Basic\\GWFD-110101 SA-Basic参考信息_90197552.md,"列出 SA-Basic 相关命令，覆盖 Filter、L7Filter、FlowFilter、Rule、URR、UserProfile 等关键对象。",accepted
