claim_id,evidence_id,target_type,target_id,target_field,claim_text,support_level,raw_quote_hint,notes,status
CLM-001,EVI-UDG-BA-93112148,NetworkScenario,NS-BA-001,scenario_summary,套餐1计费场景直接给出不同业务类型进入不同费率路径,direct,不同业务分别采用不同计费方式,第一条闭包中差异化计费的核心来源,accepted
CLM-002,EVI-UDG-BA-93112148,NetworkScenario,NS-BA-002,scenario_summary,套餐1计费场景直接给出免费业务路径,direct,免费业务,第一条闭包中免费业务的核心来源,accepted
CLM-003,EVI-UNC-TOPIC-90679673,NetworkScenario,NS-BA-003,scenario_summary,配置融合计费费率标识直接说明缺省 URR 组绑定路径,direct,缺省 URR 组,默认兜底计费的控制面核心来源,accepted
CLM-004,EVI-UDG-FEAT-73565837,Capability,Capability:BA:TrafficRecognition,capability_summary,SA-Basic 直接定义三四层解析、协议识别和七层解析能力,direct,三四层解析 协议识别 七层解析,支撑业务流识别能力定义,accepted
CLM-005,EVI-UNC-FEAT-66402110,Capability,Capability:BA:ContentChargingCP,capability_summary,UNC 内容计费基本功能直接说明 Rule/PDI/URR 的控制面编排链,direct,Rule/PDI/URR,支撑控制面内容计费能力定义,accepted
CLM-006,EVI-UNC-CMD-09653176,ConfigObject,ConfigObject:UNC:CCT,summary,ADD CCT 直接定义融合计费模板的阈值和最终动作相关参数,direct,融合计费模板 配额空闲时间门限值 最终配额动作,支撑 CCT 作为持久配置对象,accepted
CLM-007,EVI-UNC-CMD-95129686,ConfigObject,ConfigObject:UNC:QuotaExhaustAction,summary,ADD QUOTAEXHAUSTACT 直接定义在线 RG 配额耗尽后的动作对象,direct,在线 RG 配额耗尽后的动作,支撑配额耗尽动作对象定义,accepted
CLM-008,EVI-UNC-CMD-95129686,RiskConstraint,RC-BA-001,summary,ADD QUOTAEXHAUSTACT 明确说明动作配置只对新激活用户生效,direct,只对新激活用户生效,支撑风险约束 RC-BA-001,accepted
CLM-009,EVI-UNC-FEAT-93400212,RiskConstraint,RC-BA-003,summary,CCT 配置文档直接说明粒度优先级和统一粒度原则,direct,UserProfile>DNN>CC>整机通用参数,支撑 CCT 粒度继承优先级约束,accepted
CLM-010,EVI-UDG-BA-92407896,RuntimeFlow,RF-BA-002,summary,业务感知场景举例直接说明 Rule1/Rule2 初始生效且耗尽后启用 Rule3,direct,初始启用 Rule1 Rule2 流量耗尽后 Rule3,支撑配额耗尽后规则切换流程,accepted
CLM-011,EVI-UNC-FEAT-71770359,RuntimeFlow,RF-BA-002,summary,UNC PCC 基本功能直接说明 SMF 接收策略后生成 PDR 下发给 UPF,direct,生成对应的PDR下发给UPF,支撑 RF-BA-002 的控制面到用户面运行链,accepted
CLM-012,EVI-UDG-BA-92393307,ConfigObject,ConfigObject:UDG:Redirect,summary,七层重定向功能直接体现 Redirect 对象在用户面动作链中的位置,direct,ADD REDIRECT,支撑 Redirect 对象定义,accepted
CLM-013,EVI-UDG-CMD-82837606,ConfigObject,ConfigObject:UDG:PccPolicyGrp,summary,ADD PCCPOLICYGRP 直接说明 PCC 策略组可组合 URRGroup、PCCActionProp、QoS 等对象,direct,URRGroup PCCActionProp QosProp,支撑 PccPolicyGrp 作为动作汇聚对象的定义,accepted
CLM-014,EVI-UDG-FEAT-90197552,Feature,GWFD-110101,source_evidence_ids,SA-Basic 参考信息直接列出相关命令覆盖面,direct,覆盖 Filter L7Filter FlowFilter Rule URR UserProfile,补齐 SA-Basic 参考信息的正式证据引用,accepted
CLM-015,EVI-UDG-BA-94838085,Evidence,EVI-UDG-BA-94838085,status,套餐2带宽控制目前作为后续主线原料保留,direct,带宽控制,该证据当前状态为 reserved,accepted
