id,feature_id,feature_name,product_type,product_version,is_directory,section,parent_feature_id,nf_support_map,applicable_nf,feature_type,definition,application_scenario,system_impact,restrictions,spec,standards,first_release_version,config_required,customer_value,has_overview
UNC:IPFD-010000,IPFD-010000,接口与链路,UNC,20.15.2,true,IP基本特性,,,,,,,,,,,,,,no_docs
UNC:IPFD-010001,IPFD-010001,接口管理,UNC,20.15.2,false,IP基本特性,IPFD-010000,,,config_enable,接口是该设备与网络中的其它设备交换数据并相互作用的部件，分为虚拟物理接口和逻辑接口两类： - 虚拟物理接口是真实存在的物理接口映射出的虚拟接口。 - 逻辑接口是指能够实现数据交换功能但物理上不存在、需要通过配置建立的接口。,作为系统的基本特性，在任何情况下，都必须支持接口管理。,本特性对系统无影响。,本特性无应用限制。,本特性无特殊规格。,,20.0.0,true,运营商 - 虚拟物理接口能映射到真实的物理接口，正确快速传输数据，实现用户正常通信。<br>- 在不增加硬件的情况下，只需要通过配置就可以建立的逻辑接口能够实现数据通信，大大节省运营商的投资。 终端用户 用户不感知该特性。,yes
UNC:IPFD-010002,IPFD-010002,支持VLAN子接口,UNC,20.15.2,false,IP基本特性,IPFD-010000,,,config_enable,VLAN（Virtual Local Area Network）即虚拟局域网，是将一个物理局域网在逻辑上划分成多个广播域（多个VLAN）的通信技术。VLAN内的终端用户可以直接通信，而VLAN间不能直接互通，从而将广播报文限制在一个VLAN内。由于VLAN间不能直接互访，因此提高了网络安全性。 为了实现VLAN间通信，可在接入用户终端的接口上通过创建子接口并关联VLAN ID实现，关联VLAN ID的子接口称为vlan-type dot1q子接口，简称为VLAN子接口。,"不同的小区拥有相同的业务，如上网、IPTV、VoIP等业务，且各个小区中的用户位于不同的网段。为了便于管理，各个小区的网络管理者将不同的业务划分到不同的VLAN中，相同的业务划分到同一个VLAN中。目前存在不同的小区中相同的业务所属的VLAN不相同，现需要实现不同VLAN中的用户相互通信。
如 [图1](#ZH-CN_CONCEPT_0161317323__fig_dc_fenix_feature_vlan_000101) 所示，小区1～小区4中拥有相同的业务VoIP业务，但是属于不同的VLAN且位于不同的网段。通过在 Device 上部署4个VLAN子接口即可实现小区1～小区4的用户互通。
**图1** VLAN间通过VLAN子接口通信组网图
<br>
![](IPFD-010002 支持VLAN子接口特性概述_61317323.assets/zh-cn_image_0161317364.png)","VLAN子接口对报文的收发决定于系统的转发性能，该特性本身不会影响系统性能。

配置大量的VLAN子接口会增加系统配置恢复的时长。",不同主接口下的子接口可以关联相同的VLAN ID，但是同一主接口下的不同子接口一定不能关联相同的VLAN ID。,本特性无特殊规格。,,20.0.0,true,运营商 - VLAN内部的广播和单播流量不会被转发到其他VLAN中，从而有助于控制网络流量，提高网络安全性和可靠性。<br>- 用户终端增加新的VLAN用户，无需升级硬件设备增加端口，只需要在设备上新增一个对应的VLAN子接口即可，由此实现减少设备投资、简化网络管理。 用户 用户不感知该特性。,yes
UNC:IPFD-011000,IPFD-011000,IP协议栈基本功能,UNC,20.15.2,true,IP基本特性,,,,,,,,,,,,,,no_docs
UNC:IPFD-011001,IPFD-011001,ARP,UNC,20.15.2,false,IP基本特性,IPFD-011000,,,config_enable,地址解析协议ARP（Address Resolution Protocol）是用来将IP地址解析为MAC地址的协议，是以太网通信的基础协议。,"当两台主机需要进行通信的时候，发送方必须知道对方的网络层地址（即IP地址）。但是只有IP地址是不够的，因为IP数据报文必须封装成帧才能通过物理网络发送，因此数据报文的发送方还必须知道接收方的物理地址（即MAC地址）。发送方需要将接收方IP地址映射到相应的MAC地址，保证数据报文的传送能够顺利进行。
ARP提供了实现IP地址和MAC地址之间映射关系的机制。",本特性对系统无影响。,本特性无应用限制。,"| 规格名称 | 规格指标 |
| --- | --- |
| 单板支持动态ARP数量（个） | 131072 |
| 接口支持动态ARP数量（个） | 65536 |
| 静态ARP数量（个） | 16384 |",RFC 826 ; RFC 903 ; RFC 1027 ; RFC 1042 ,20.0.0,true,运营商 ARP用来实现以太网中网络层IP地址与链路层MAC地址之间的映射，是以太网通信的基础。 用户 用户不感知该特性。,yes
UNC:IPFD-012000,IPFD-012000,IP可靠性,UNC,20.15.2,true,IP基本特性,,,,,,,,,,,,,,no_docs
UNC:IPFD-012001,IPFD-012001,QoS,UNC,20.15.2,false,IP基本特性,IPFD-012000,,,business_policy,服务质量QoS（Quality of Service）是各种存在服务供需关系的场合中普遍存在的概念，它评估服务方满足客户服务需求的能力。评估通常不是精确的评分，而是注重分析在什么条件下服务是好的，在什么情况下还存在着不足，以便有针对性地作出改进。,随着市场的发展和竞争环境的变化，运营商需要在运营策略上对用户群进行分类，为不同需求的用户群提供不同等级的服务，从而获得最大收益。,本特性对系统无影响。,本特性无应用限制。,本特性无特殊规格。,,20.0.0,true,运营商 - 能够区分业务并提供相应的服务保证，使网络融合语音、视频及数据等多种业务。<br>- 针对不同的客户需求提供不同优先级的服务，从而进一步扩大市场占有率、提高市场竞争力。 用户 不同等级的用户享受到不同级别的服务。,yes
UNC:IPFD-012002,IPFD-012002,ACL,UNC,20.15.2,false,IP基本特性,IPFD-012000,,,business_policy,ACL（Access Control List，访问控制列表）是一系列有顺序的包含“允许”或者“拒绝”规则的集合，这些规则通过报文的源地址、目的地址、端口号等特征来描述，可以实现对报文的分类。,"网络中的设备相互通信时，需要保障网络传输的安全可靠和性能稳定。例如：
- 在设备管理的应用中，为了提升其安全性，防止遭受恶意攻击，网络管理员需要限制只允许满足符合一定条件的客户访问设备。
- 在策略路由的应用中，网络管理员需要对符合条件的数据报文执行相应的策略路由动作，比如设置报文的转发优先级、出接口、下一跳和VPN实例，使得指定的数据报文可以灵活地按照策略路由转发，从而实现提供有差别的服务的目的。
- 在路由策略的应用中，网络管理员有时候需要设置某种控制方式来改变路由产生、发布和选择的结果，从而达到网络流量所经过的路径的目的。
- 在QoS的应用中，网络管理员需要适时限制网络流量和提高网络性能，例如限定网络上行、下行流量的带宽，对用户申请的带宽进行收费，保证高带宽网络资源的充分利用。
针对上述场景，可以通过配置ACL，定义一组匹配规则，实现：
- 允许满足匹配规则的用户访问设备，不满足规则的用户拒绝其访问设备。
- 对满足符合匹配规则的数据报文进行相应的策略路由动作，按照灵活的策略路由转发，对不满足规则的数据报文单纯依照目的地址查找路由表进行转发。
- 允许设备只接收或发布满足匹配规则的路由信息，不满足规则的路由信息将不被接收或者发布。
- 对满足匹配规则的流量进行流量监管、流量整形、流量分类，对不满足规则的流量不作处理。",当一个ACL中规则非常多时，寻找到相应匹配规则的时间耗时变长，导致转发性能下降。,本特性本身不涉及应用限制，但是需要与具体特性配合之后才能生效。,"| 规格名称 | 规格指标 |
| --- | --- |
| 每个ACL支持的规则的规格 | 2K |",RFC 4314 ,20.0.0,true,运营商 ACL通过规则对报文进行分类，这些规则应用到设备上，设备根据这些规则判断哪些报文可以接收，哪些报文需要拒绝，从而极大地提升了网络的安全性。 用户 ACL提升了网络的安全性，可以给用户带来更好的用网体验。,yes
UNC:IPFD-012003,IPFD-012003,BFD,UNC,20.15.2,false,IP基本特性,IPFD-012000,,,config_enable,BFD（Bidirectional Forwarding Detection）是一套全网统一的检测机制，它可以快速检测网络中的故障，减小设备故障对业务的影响，提高网络的可用性。,"在现有网络中，通常采用以下几种方法检测链路故障：
- 通过硬件检测信号，检测链路硬件故障。它的优点是可以很快的发现故障。
- 如果无法通过硬件信号检测故障，通常采用路由协议的Hello报文机制。
以上检测链路的方法存在如下的问题：
- 并不是所有的介质都能够提供硬件检测。
- 路由协议的Hello报文机制检测到故障所需时间比较长，超过1秒钟。当数据传输速率达到吉比特速率级时，在此检测时间内，大量数据将会丢失。
- 在小型三层网络中，如果没有部署路由协议，则无法使用路由协议的Hello报文机制来检测故障。这对设备间互联互通定位故障造成困难。
这种情况下，就可以使用BFD快速检测、监控网络中链路或者IP路由的转发连通状况。",本特性对系统无影响。,本特性无应用限制。,"| 规格名称 | 规格指标 |
| --- | --- |
| 整机最大检测会话个数 | 7200个（IPv4和IPv6共享） |
| 每VNRS_IP_RU最大检测会话个数 | 600个（IPv4和IPv6共享） |
| 最小检测时间 | 200ms |
| 最大检测时间 | 1000ms |
| 检测倍数范围 | 3～50 |",RFC 5880 ; RFC 5881 ; RFC 5882 ; RFC 5883 ,20.0.0,true,运营商 BFD可以实现快速检测并监控网络中链路或IP路由的转发连通状态，改善网络性能。相邻系统之间通过快速检测发现通信故障，可以更快地帮助运营商建立起备份通道以便恢复通信，保证网络可靠性。 用户 用户不感知该特性。,yes
UNC:IPFD-014000,IPFD-014000,路由功能,UNC,20.15.2,true,IP基本特性,,,,config_enable,,,,,"| 规格名称 | 规格指标 |
| --- | --- |
| 系统支持的IPv4路由前缀数的最大值 | 1000000 |
| 系统支持的IPv6路由前缀数的最大值 | 1000000 |",,,true,,yes
