config_object_id,config_object_name,vendor,object_category,summary,supporting_command_ids_json,source_evidence_ids,status
ConfigObject:UDG:IPList,IP地址列表,UDG,persistent,承载指定服务器 IP 范围识别条件。,"[""CMD-UDG-ADD-IPLIST""]","[""EVI-UDG-BA-93112148""]",accepted
ConfigObject:UDG:Filter,三四层过滤器,UDG,persistent,承载三四层过滤条件。,"[""CMD-UDG-ADD-FILTER""]","[""EVI-UDG-BA-93112148"",""EVI-UDG-FEAT-90197552""]",accepted
ConfigObject:UDG:L7Filter,七层过滤器,UDG,persistent,承载 URL/Host 等七层识别条件。,"[""CMD-UDG-ADD-L7FILTER""]","[""EVI-UDG-BA-93112148"",""EVI-UDG-BA-92393307"",""EVI-UDG-FEAT-90197552""]",accepted
ConfigObject:UDG:FlowFilter,流过滤器,UDG,persistent,组合三四层、协议、七层等识别条件。,"[""CMD-UDG-ADD-FLOWFILTER""]","[""EVI-UDG-BA-93112148"",""EVI-UDG-FEAT-90197552""]",accepted
ConfigObject:UDG:FltBindFlowF,流过滤器的过滤器绑定关系,UDG,binding,把 Filter 绑定到 FlowFilter。,"[""CMD-UDG-ADD-FLTBINDFLOWF""]","[""EVI-UDG-BA-93112148""]",accepted
ConfigObject:UDG:ProtBindFlowF,流过滤器的协议或七层条件绑定关系,UDG,binding,把协议或七层条件绑定到 FlowFilter。,"[""CMD-UDG-ADD-PROTBINDFLOWF""]","[""EVI-UDG-BA-93112148""]",accepted
ConfigObject:UDG:FlowFilterGroup,流过滤器组,UDG,persistent,组织多条识别路径，形成复合匹配条件。,"[""CMD-UDG-ADD-FLOWFILTERGRP""]","[""EVI-UDG-BA-93112148""]",accepted
ConfigObject:UDG:URR,使用量上报规则,UDG,persistent,承载 UDG 侧业务粒度计费或配额相关语义。,"[""CMD-UDG-ADD-URR""]","[""EVI-UDG-BA-93112148"",""EVI-UDG-FEAT-66863837""]",accepted
ConfigObject:UDG:URRGroup,URR组,UDG,persistent,组织 UDG 侧多个 URR。,"[""CMD-UDG-ADD-URRGROUP""]","[""EVI-UDG-BA-93112148""]",accepted
ConfigObject:UDG:PccPolicyGrp,PCC策略组,UDG,persistent,汇聚 URRGroup、PccActionProp、QoS 等动作和计费对象。,"[""CMD-UDG-ADD-PCCPOLICYGRP""]","[""EVI-UDG-BA-93112148"",""EVI-UDG-CMD-82837606""]",accepted
ConfigObject:UDG:Rule,规则,UDG,persistent,把识别条件、策略动作和优先级绑定为可执行规则。,"[""CMD-UDG-ADD-RULE""]","[""EVI-UDG-BA-93112148"",""EVI-UDG-FEAT-90197552""]",accepted
ConfigObject:UDG:UserProfile,用户模板,UDG,persistent,承载整个业务套餐或规则生效范围。,"[""CMD-UDG-ADD-USERPROFILE"",""CMD-UDG-SET-URRGRPBINDING""]","[""EVI-UDG-BA-93112148"",""EVI-UDG-FEAT-90197552""]",accepted
ConfigObject:UDG:RuleBinding,规则绑定,UDG,binding,把多条 Rule 绑定到同一 UserProfile。,"[""CMD-UDG-ADD-RULEBINDING""]","[""EVI-UDG-BA-93112148""]",accepted
ConfigObject:UDG:Redirect,重定向对象,UDG,persistent,承载 URL 重定向目标和默认动作。,"[""CMD-UDG-ADD-REDIRECT""]","[""EVI-UDG-BA-92393307"",""EVI-UDG-BA-87803995""]",accepted
ConfigObject:UDG:PccActionProp,PCC动作属性,UDG,persistent,承载重定向、阻断等 PCC 动作属性。,"[""CMD-UDG-ADD-PCCACTIONPROP""]","[""EVI-UDG-BA-87803995"",""EVI-UDG-BA-92393307""]",accepted
ConfigObject:UNC:LicenseSwitch,License开关,UNC,operation_anchor,用于激活内容计费等特性所需 License。,"[""CMD-UNC-SET-LICENSESWITCH""]","[""EVI-UNC-FEAT-74013177""]",accepted
ConfigObject:UNC:URR,使用量上报规则,UNC,persistent,承载 SMF 侧在线或离线 URR 及 RG/SID 等计费语义。,"[""CMD-UNC-ADD-URR""]","[""EVI-UNC-TOPIC-90679673""]",accepted
ConfigObject:UNC:URRGroup,URR组,UNC,persistent,组织 UNC 侧在线/离线 URR。,"[""CMD-UNC-ADD-URRGROUP""]","[""EVI-UNC-TOPIC-90679673""]",accepted
ConfigObject:UNC:PccPolicyGrp,PCC策略组,UNC,persistent,把 URRGroup 等计费或策略对象绑定到 Rule。,"[""CMD-UNC-ADD-PCCPOLICYGRP""]","[""EVI-UNC-TOPIC-90679673""]",accepted
ConfigObject:UNC:Rule,规则,UNC,persistent,承载 SMF 侧规则定义。,"[""CMD-UNC-ADD-RULE""]","[""EVI-UNC-TOPIC-90679673""]",accepted
ConfigObject:UNC:UserProfile,用户模板,UNC,persistent,承载 SMF 侧用户模板及默认计费或 CCT 绑定入口。,"[""CMD-UNC-SET-URRGRPBINDING""]","[""EVI-UNC-TOPIC-90679673"",""EVI-UNC-FEAT-93400212""]",accepted
ConfigObject:UNC:RuleBinding,规则绑定,UNC,binding,把 Rule 绑定到 UserProfile。,"[""CMD-UNC-ADD-RULEBINDING""]","[""EVI-UNC-TOPIC-90679673""]",accepted
ConfigObject:UNC:CCT,融合计费模板,UNC,persistent,定义融合计费阈值、最终配额动作和无配额触发等参数。,"[""CMD-UNC-ADD-CCT""]","[""EVI-UNC-CMD-09653176"",""EVI-UNC-FEAT-93400212""]",accepted
ConfigObject:UNC:QuotaExhaustAction,配额耗尽动作对象,UNC,persistent,定义在线 RG 配额耗尽后的 BLOCK/REDIRECT/FORWARD 动作。,"[""CMD-UNC-ADD-QUOTAEXHAUSTACT""]","[""EVI-UNC-CMD-95129686""]",accepted
