id,feature_id,feature_name,product_type,product_version,is_directory,section,parent_feature_id,nf_support_map,applicable_nf,feature_type,definition,application_scenario,system_impact,restrictions,spec,standards,first_release_version,config_required,customer_value,has_overview
UDG:GWFD-000101,GWFD-000101,支持云化分布式软件架构,UDG,20.15.2,false,NFV基本特性,,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,SGW-U/PGW-U/UPF,config_enable,为使业务部署更灵活， UDG 采用优化后的云化分布式软件架构，即将业务处理单元、分布式数据库和分布式负载均衡单元分离，即云化分布式软件架构。,分布式软件架构是5GC网络产品的必选软件架构。,本特性对系统无影响。,本特性无应用限制。,本特性无特殊规格。,,20.3.0,true,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | 软件架构标准化，极大地降低运营商的维护成本和维护时间。 |
| 用户 | 用户不感知该特性。 |",yes
UDG:GWFD-000102,GWFD-000102,支持微服务架构,UDG,20.15.2,false,NFV基本特性,,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,SGW-U、PGW-U、UPF,config_enable,微服务架构（Microservice Architect）是一种架构模式，它提倡将单体架构的应用划分成一组小的服务，服务之间互相协调、互相配合，为用户提供最终价值。每个服务运行在其独立的进程中，服务与服务间采用轻量级的通信机制互相沟通。每个服务都围绕着具体业务进行构建，并且能够被独立的部署到生产环境、类生产环境等。,微服务架构是5G Core网络的必选架构。,本特性对系统无影响。,本特性无应用限制。,本特性无特殊规格。,,20.3.0,true,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | - 实现增强业务功能的快速上线和敏捷交付，缩短上线周期。<br>- 减少整系统升级频率和次数，降低运维成本。 |
| 用户 | 用户不感知该特性。 |",yes
UDG:GWFD-000103,GWFD-000103,支持2G/3G/4G/5G融合架构,UDG,20.15.2,false,NFV基本特性,,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,SGW-U、PGW-U、UPF,config_enable,UDG 支持2/3/4/5G用户接入极简融合的核心网，实现了2/3/4/5G网络的全面融合。同时也兼顾存量网络的平滑演进，最大程度保护现网投资。,运营商新建5G网络或由2/3/4/G网络改造升级到5G网络时，需要同时支持2/3/4/5G用户接入，可开启本特性。,本特性对系统无影响。,本特性无应用限制。,本特性无特殊规格。,,20.3.0,true,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | - 全制式组网，简化网络运维。<br>- 平滑向5G演进，保护投资。 |
| 用户 | 用户不感知该特性。 |",yes
UDG:GWFD-000104,GWFD-000104,用户面自动上线,UDG,20.15.2,false,NFV基本特性,,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,SGW-U、PGW-U、UPF,config_enable,用户面自动上线是指用户面站点在完成生产预安装、硬件安装及上电后，可实现用户面自动化开站，包括VNFM-Agent自动和 U2020/MAE 建立OM通道，自动修改边缘用户面各部件的IP地址， U2020/MAE 自动进行用户面纳管及生命周期管理，自动下发配置，自动加载License及自动进行健康状态检查。,在CU分离和MEC场景下用户面规模下沉到边缘侧，在完成FusionSphere、FusionManager、eSight、FusionStage、VNFM-Agent及SGW-U/PGW-U/UPF的预安装时，该特性功能可实现VNFM-Agent将各部件的IP地址刷新为新规划的IP地址及 U2020/MAE 进行用户面的自动纳管，网元数据的自动配置。,本特性对系统无影响。,"- FusionSphere OpenStack默认在系统时间的凌晨3点进行数据备份，耗时30分钟~1小时，该时段无法修改FusionSphere OpenStack的参数，也无法进行用户面自动上线。
- 在自动上线的过程中支持在某步骤执行失败时跳过或重试该步骤。
- 该特性只支持本地磁盘部署，不支持磁盘阵列部署。
- 该特性不支持逻辑网络名称和VLAN ID修改。
- 多用户面站点的管理面共L3 网关（TOR、EOR、DCGW）时，不支持按照生产预安装初始值进行用户面自动上线，因为如果每套用户面站点的IP相同，同个L3网关下地址会产生冲突。",本特性无特殊规格。,,20.3.0,true,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | 随着CU分离和MEC场景的出现，用户面将会出现规模下沉部署的场景，用户面自动上线将极大缩短开站的时间，提升部署效率。 |
| 用户 | 用户不感知该特性。 |",yes
UDG:GWFD-000105,GWFD-000105,用户面一体化升级,UDG,20.15.2,false,NFV基本特性,,GGSN(2G&3G)=E; S/PGW-U(4G)=E; S/PGW-U(5G NSA)=E; UPF(5G)=E; NB-IoT=E,SGW-U、PGW-U、UPF,config_enable,独立DC、虚机部署场景下，完成一个网元的站点升级需分别按部件规划多个时间窗，存在升级操作时间窗多、升级操作界面多、升级操作复杂、并行升级能力不足等问题。其中，不同部件需要操作的升级界面如 [图1](#ZH-CN_TOPIC_0000001193588080__fig131461202118) 所示。 用户面一体化升级 提供多部件垂直并行升级能力，一个升级时间窗内完成 UDG 、VNFM-Agent、FusionStage、FusionSphere OpenStack、eSight共5个部件的升级，有效简化站点升级操作、提升站点升级效率。 **图1** 站点升级示意图 <br>,独立DC部署、虚拟机形态下，对各部件版本满足解决方案版本配套的站点，可以实现在一个升级时间窗内（00：00-02：00），通过MAE操作升级，一键式完成对 UDG 、VNFM-Agent、FusionStage、FusionSphere OpenStack、eSight共5个部件的升级。,"- 升级过程中，被升级的服务会复位，会出现业务中断。
- 升级过程中，整系统虚拟机或单板会复位，会出现相应部件的OM Portal断连。
- 升级过程中，无法创建跟踪任务，升级结束后才可创建。
- 升级过程中，VNF的生命周期管理不可用。
- 升级过程中，部件与网管之间可能会断连，升级完成后会自动恢复。在此期间，通过网管的操作无法执行，但是不影响升级过程。

> 更多详细的影响描述请参考随版本交付的《一体化升级指导书》。","- 本特性适用于独立DC部署、虚拟机形态下的多部件一体化升级。
- 本特性不适用于硬件升级，硬件升级需使用SmartKit工具进行单独升级。
- 升级前中心机房侧需已完成 NFV_FusionUpdateTool的资源规划和安装部署。
- 升级前UDG、VNFM-Agent、FusionStage、FusionSphere OpenStack、eSight的版本及目标升级版本需满足5GC解决方案各部件版本配套要求。
- MAE需满足以下要求：
    - MAE为融合网管，其版本满足解决方案版本配套要求。
    - MAE已经完成Pipeline虚拟机的扩容。",每套MAE可最多可同时支持20套站点的一体化升级。,,20.8.0,true,"| **受益方** | **受益描述** |
| --- | --- |
| 运营商 | 简化站点网络升级操作，提升站点升级效率。 |
| 用户 | 用户不感知该特性。 |",yes
UDG:GWFD-010100,GWFD-010100,基本业务,UDG,20.15.2,true,2/3/4G/5G业务基本特性,,GGSN(2G&3G)=目录,,,,,,,,,,,,no_docs
UDG:GWFD-010101,GWFD-010101,会话管理,UDG,20.15.2,false,2/3/4G/5G业务基本特性,GWFD-010100,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,PGW-U,config_enable,会话管理是 UDG 的基本功能， 是用户与外部PDN（ Packet Data Network）建立连接，进行数据业务的基础。华为 UDG 支持3GPP标准定义的GERAN/UTRAN无线网络接入，实现GPRS/UMTS网络用户的接入。,当用户需要通过GERAN/UTRAN网络接入外部PDN时，需要支持本功能。,本特性对系统无影响。,本特性无应用限制。,"| 规格名称 | 规格指标 |
| --- | --- |
| 每个用户可以激活的最大承载数 | 11 |",3GPP 23.401; 3GPP 23.214; 3GPP 29.244; 3GPP 23.060,20.3.2,true,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | 会话管理功能使运营商得以向授权的用户提供从移动终端到数据网络间的数据传输服务，从而丰富其网络业务。 |
| 用户 | 会话管理使UE可以通过GERAN/UTRAN网络接入外部PDN，享用Internet或企业网提供的数据业务。 |",yes
UDG:GWFD-010102,GWFD-010102,路径管理,UDG,20.15.2,false,2/3/4G/5G业务基本特性,GWFD-010100,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,SGW-U、PGW-U、UPF,config_enable,路径管理功能是指在本端网元与对端网元之间传送路径管理消息。该功能可用于检测与对端网元的通信路径故障和对端网元的工作状态。 - 与对端网元的通信路径故障包括物理传输线路故障和路由配置错误等故障。 - 对端网元的工作状态包括对端应答响应错误和对端设备故障导致无响应消息。,"路径管理功能是网络中一种重要的 故障检测 功能，使用路径管理功能是对网络基本通信的重要保障。该功能适用于以下场景：
- SGW-C和SGW-U之间。
- PGW-C和PGW-U之间。
- eNodeB和SGW-U之间。
- SGW-U和PGW-U之间。
- UPF和UPF之间。
- (R)AN和UPF之间。
- SMF和UPF之间。
- GnGp SGSN和PGW-U之间。",本特性对系统无影响。,本特性无应用限制。,"| 规格名称 | 规格指标 |
| --- | --- |
| 路径规格 | 600000 |",3GPP 23.060; 3GPP 29.060; 3GPP 29.061; 3GPP 24.008; 3GPP 23.214; 3GPP 29.244,20.0.0,true,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | 可以及时探测到网络中的节点是否存在故障，以便及时清理故障的路径和释放相应的IP地址，减少资源的消耗。 |
| 用户 | 用户不感知该特性。 |",yes
UDG:GWFD-010103,GWFD-010103,数据转发,UDG,20.15.2,false,2/3/4G/5G业务基本特性,GWFD-010100,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,SGW-U、PGW-U、UPF,protocol_base,- 在GPRS/UMTS网络中，上行方向，PGW-U通过Gn接口从SGSN接收数据，解GTP-U封装获得用户报文后转发到PDN侧。下行方向，PGW-U从PDN侧接收数据，PGW-U进行QoS、计费等处理后，加GTP-U封装并转发给SGSN。 - 在EPC网络中，上行方向，SGW-U通过S1-U接口从eNodeB接收数据，转发给PGW-U，解GTP-U封装获得用户报文后，进行业务处理，最后转发到PDN侧。下行方向，PGW-U从PDN侧接收数据，进行QoS、计费等处理后，加GTP-U封装并通过S5接口转发给SGW-U，SGW-U通过S1-U接口转发给eNodeB。 - 在5G网络中，上行方向，UPF通过N3接口从(R)AN接收数据，解GTP-U封装获得用户报文后，UPF进行业务处理，再转发到DN侧。下行方向，UPF从DN侧接收数据，UPF进行QoS、计费等处理后，转发给(R)AN。,GPRS/UMTS/EPC/5G网络中为用户提供数据业务访问的能力。,本特性对系统无影响。,本特性无应用限制。,本特性无特殊规格。,3GPP 23.401; 3GPP 23.060; 3GPP 23.214; 3GPP 29.244,20.0.0,false,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | 具备通过GPRS/UMTS/EPC/5G网络为用户提供数据业务的能力。 |
| 用户 | 用户不感知该特性。 |",yes
UDG:GWFD-010104,GWFD-010104,地址分配方式,UDG,20.15.2,false,2/3/4G/5G业务基本特性,GWFD-010100,GGSN(2G&3G)=M; S/PGW-U(4G)=M; S/PGW-U(5G NSA)=M; UPF(5G)=M; NB-IoT=M,PGW-U、UPF,config_enable,UDG 支持两种地址分配方式：外部地址分配和用户面地址分配，可以为UE提供三种类型的地址：IPv4地址、IPv6地址、双栈地址（IPv4和IPv6地址）。 外部地址分配指PGW-C/SMF为UE分配IP地址后将UE的IP地址通知 UDG ，由 UDG 完成路由发布的功能。 用户面地址分配指 UDG 根据本地地址池为UE分配IP地址并完成路由的发布功能。,UE接入核心网，访问数据业务，需要开启本特性。如果运营商未单独部署为用户分配IP地址的设备，可以采用用户面地址分配方式，以节约运营成本。,本特性对系统无影响。,本特性无应用限制。,本特性无特殊规格。,3GPP 23.060; 3GPP 29.060; 3GPP 29.061; 3GPP 24.008; 3GPP 23.214; 3GPP 29.244; 3GPP 23.501; IETF 2865; IETF 2460,20.0.0,true,"| 受益方 | 受益描述 |
| --- | --- |
| 运营商 | 可根据实际组网灵活选择地址分配方式。 |
| 用户 | 接入PDN/DN网络，享用高速的数据业务。 |",yes
