product,feature_id,category,feature_dir,doc_name,has_task_example,has_operation_steps,has_operation_flow,doc_path
UDG,,支持专用DNN_APN园区终端互访控制,,激活支持专用DNN_APN园区终端互访控制_13315418,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\支持专用DNN_APN园区终端互访控制\激活支持专用DNN_APN园区终端互访控制_13315418.md
UDG,GWFD-020352,IPv6功能,GWFD-020352 IPv6 SA,激活IPv6 SA_80136513,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020352 IPv6 SA\激活IPv6 SA_80136513.md
UDG,GWFD-020401,IPv6功能,GWFD-020401 IPv6承载上下文,激活IPv6承载上下文_38276176,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020401 IPv6承载上下文\激活IPv6承载上下文_38276176.md
UDG,GWFD-020402,IPv6功能,GWFD-020402 N6_Gi_SGi接口IPv6组网,激活N6_Gi_SGi接口IPv6组网_64500399,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020402 N6_Gi_SGi接口IPv6组网\激活N6_Gi_SGi接口IPv6组网_64500399.md
UDG,GWFD-020403,IPv6功能,GWFD-020403 IPv4v6双栈接入,激活IPv4v6双栈接入_38276180,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020403 IPv4v6双栈接入\激活IPv4v6双栈接入_38276180.md
UDG,GWFD-020406,IPv6功能,GWFD-020406 IPv6 Prefix Delegation,激活外部网元地址分配的IPv6 Prefix Delegation功能_80269177,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020406 IPv6 Prefix Delegation\激活外部网元地址分配的IPv6 Prefix Delegation功能_80269177.md
UDG,GWFD-020406,IPv6功能,GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能,基于APN_DNN分配地址_80250128,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020406 IPv6 Prefix Delegation\激活本地地址池分配的IPv6 Prefix Delegation功能\基于APN_DNN分配地址_80250128.md
UDG,GWFD-020406,IPv6功能,GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能,基于SMF+APN_DNN分配地址_80250130,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020406 IPv6 Prefix Delegation\激活本地地址池分配的IPv6 Prefix Delegation功能\基于SMF+APN_DNN分配地址_80250130.md
UDG,GWFD-020406,IPv6功能,GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能,基于SMF分配地址_80250129,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020406 IPv6 Prefix Delegation\激活本地地址池分配的IPv6 Prefix Delegation功能\基于SMF分配地址_80250129.md
UDG,GWFD-020406,IPv6功能,GWFD-020406 IPv6 Prefix Delegation/激活本地地址池分配的IPv6 Prefix Delegation功能,基于位置分配地址_52579205,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IPv6功能\GWFD-020406 IPv6 Prefix Delegation\激活本地地址池分配的IPv6 Prefix Delegation功能\基于位置分配地址_52579205.md
UDG,IPFD-012000,IP基本特性,IPFD-012000 IP可靠性/IPFD-012001 QoS/特性配置/复杂流分类配置（VNRS_VNFC）,创建VPN组（VNRS_VNFC）_13119482,True,True,False,output\UDG_Product_Documentation_CH_20.15.2\特性部署\特性指南\UDG特性指南\IP基本特性\IPFD-012000 IP可靠性\IPFD-012001 QoS\特性配置\复杂流分类配置（VNRS_VNFC）\创建VPN组（VNRS_VNFC）_13119482.md
