scenario_id,semantic_object_id,relation_type,notes,status
NS-BA-001,BA.SubjectSemantics,uses_semantic_object,差异化计费需要明确对哪个用户模板或范围生效,accepted
NS-BA-001,BA.TrafficRecognitionSemantics,uses_semantic_object,差异化计费依赖 URL/协议/IP 识别,accepted
NS-BA-001,BA.RuleSemantics,uses_semantic_object,差异化计费依赖 Rule 与优先级,accepted
NS-BA-001,BA.ChargingSemantics,uses_semantic_object,差异化计费依赖独立费率路径,accepted
NS-BA-001,BA.BindingSemantics,uses_semantic_object,差异化计费需要套餐绑定,accepted
NS-BA-001,BA.PrioritySemantics,uses_semantic_object,差异化计费需要优先级裁决,accepted
NS-BA-001,BA.ValidationDiagnosisSemantics,uses_semantic_object,差异化计费需要验收和回查,accepted
NS-BA-002,BA.SubjectSemantics,uses_semantic_object,免费业务需要明确对哪个用户模板或范围生效,accepted
NS-BA-002,BA.ChargingSemantics,uses_semantic_object,免费业务由 FREE 计量表达,accepted
NS-BA-002,BA.RuleSemantics,uses_semantic_object,免费业务仍依赖 Rule 命中,accepted
NS-BA-003,BA.SubjectSemantics,uses_semantic_object,默认兜底计费需要明确默认费率对哪个用户模板生效,accepted
NS-BA-003,BA.BindingSemantics,uses_semantic_object,默认兜底计费依赖缺省 URR 组绑定,accepted
NS-BA-003,BA.PrioritySemantics,uses_semantic_object,默认兜底计费依赖低优先级兜底 Rule,accepted
NS-BA-004,BA.QuotaSemantics,uses_semantic_object,配额耗尽动作依赖 RG 配额状态和 CCT 阈值语义,accepted
NS-BA-004,BA.PolicyActionSemantics,uses_semantic_object,配额耗尽后需要映射为 BLOCK/REDIRECT/FORWARD 动作,accepted
NS-BA-004,BA.RuntimeSemantics,uses_semantic_object,配额耗尽动作只有在运行时配额状态变化后才触发,accepted
NS-BA-005,BA.SubjectSemantics,uses_semantic_object,配额耗尽后重定向需要明确对哪个用户模板或业务范围生效,accepted
NS-BA-005,BA.QuotaSemantics,uses_semantic_object,配额耗尽后重定向依赖配额状态,accepted
NS-BA-005,BA.RedirectSemantics,uses_semantic_object,配额耗尽后目标动作是重定向,accepted
NS-BA-005,BA.RuleSemantics,uses_semantic_object,需要区分正常计费规则和耗尽后重定向规则,accepted
NS-BA-005,BA.RuntimeSemantics,uses_semantic_object,需要表达 Rule 启停和策略更新过程,accepted
NS-BA-006,BA.SubjectSemantics,uses_semantic_object,七层重定向需要明确规则绑定到哪个用户模板或范围,accepted
NS-BA-006,BA.TrafficRecognitionSemantics,uses_semantic_object,七层重定向依赖 URL/Host 等识别条件,accepted
NS-BA-006,BA.RedirectSemantics,uses_semantic_object,七层重定向的核心动作是 URL 重定向,accepted
NS-BA-006,BA.BindingSemantics,uses_semantic_object,七层重定向需要绑定到 Rule 和 UserProfile,accepted
